Date;Average temperature (°F);Average humidity (%);Average dewpoint (°F);Average barometer (in);Average windspeed (mph);Average gustspeed (mph);Average direction (°deg);Rainfall for month (in);Rainfall for year (in);Maximum rain per minute;Maximum temperature (°F);Minimum temperature (°F);Maximum humidity (%);Minimum humidity (%);Maximum pressure;Minimum pressure;Maximum windspeed (mph);Maximum gust speed (mph);Maximum heat index (°F);Date1;Month;diff_pressure
1/01/2009;378;350;127;297;264;368;2740;0;0;0;400;340;40;270;29762;29596;414;590;400;1/01/2009;1;1,66E+16
2/01/2009;432;320;147;295;128;180;2400;0;0;0;520;370;40;160;29669;29268;357;510;520;2/01/2009;1;4,01E+15
3/01/2009;257;600;127;297;83;122;2900;0;0;0;410;60;80;350;30232;2926;253;380;410;3/01/2009;1;9,72E+15
4/01/2009;93;670;1;304;29;45;470;0;0;0;190;0;70;350;30566;30227;127;200;320;4/01/2009;1;3,39E+16
5/01/2009;235;300;-53;299;167;231;2650;0;0;0;300;150;50;130;30233;29568;380;530;320;5/01/2009;1;6,65E+15
6/01/2009;248;420;46;298;160;239;2760;0;0;0;290;190;50;270;29879;29637;299;480;320;6/01/2009;1;2,42E+16
7/01/2009;342;600;216;297;204;300;2760;0;0;0;390;270;80;460;2986;29602;380;540;390;7/01/2009;1;2,58E+15
8/01/2009;421;410;200;298;175;252;2650;0;0;0;510;360;50;280;29883;29627;357;490;510;8/01/2009;1;2,56E+15
9/01/2009;303;460;114;300;69;106;2920;0;0;0;410;190;80;270;30446;29575;242;360;410;9/01/2009;1;8,71E+15
10/01/2009;262;380;36;304;182;246;2580;0;0;0;310;220;40;290;30489;30291;311;460;320;10/01/2009;1;1,98E+15
11/01/2009;301;410;90;303;170;246;2700;0;0;0;360;260;50;290;30421;30112;311;440;360;11/01/2009;1;3,09E+16
12/01/2009;234;600;110;303;74;110;3510;3;3;0;310;160;80;410;30524;30012;253;330;320;12/01/2009;1;5,12E+15
13/01/2009;324;470;146;302;163;226;2540;3;3;0;380;280;50;340;3034;30046;322;470;380;13/01/2009;1;2,94E+15
14/01/2009;331;450;142;302;99;140;2590;3;3;0;390;280;50;340;30271;30115;299;320;390;14/01/2009;1;1,56E+16
15/01/2009;357;420;145;303;79;118;2700;3;3;0;430;270;50;280;30405;30201;196;260;430;15/01/2009;1;2,04E+16
16/01/2009;416;280;97;303;119;167;2690;3;3;0;530;320;40;140;30432;30127;265;370;530;16/01/2009;1;3,05E+15
17/01/2009;409;210;31;303;67;97;2760;3;3;0;540;280;20;110;30435;30093;219;260;540;17/01/2009;1;3,42E+16
18/01/2009;434;150;-17;303;96;147;2880;3;3;0;520;270;20;80;30425;3019;242;360;520;18/01/2009;1;2,35E+16
19/01/2009;466;190;36;303;70;105;2930;3;3;0;570;360;30;70;30333;30154;207;280;570;19/01/2009;1;1,79E+15
20/01/2009;400;270;-10;304;48;74;2850;3;3;0;610;160;60;40;30607;30016;184;260;610;20/01/2009;1;5,91E+15
21/01/2009;482;110;-46;300;124;168;2570;3;3;0;550;410;10;60;30143;29871;253;350;550;21/01/2009;1;2,72E+14
22/01/2009;448;400;208;299;118;163;2640;3;3;0;520;380;60;170;29911;29784;311;440;520;22/01/2009;1;1,27E+16
23/01/2009;248;810;196;302;37;53;520;3;3;0;380;120;80;630;30473;29855;127;160;380;23/01/2009;1;6,18E+15
24/01/2009;354;680;250;300;82;108;2810;9;9;0;470;130;90;400;30436;29689;265;350;470;24/01/2009;1;7,47E+15
25/01/2009;210;770;145;299;43;61;350;2;2;0;390;50;90;450;30138;29652;230;260;390;25/01/2009;1;4,86E+16
26/01/2009;28;730;-40;303;39;56;510;2;2;0;110;-30;70;650;30535;29879;150;200;320;26/01/2009;1;6,56E+15
27/01/2009;79;510;-81;304;127;177;2630;2;2;0;190;-110;70;250;30619;30131;345;470;320;27/01/2009;1;4,88E+16
28/01/2009;218;430;26;302;196;280;2690;2;2;0;270;150;50;310;3025;30063;437;580;320;28/01/2009;1;1,87E+16
29/01/2009;225;400;13;303;94;144;2670;2;2;0;300;150;50;270;30408;3024;288;470;320;29/01/2009;1;1,68E+15
30/01/2009;360;330;94;303;157;213;2610;21;21;0;460;270;40;220;30435;30102;322;440;460;30/01/2009;1;3,33E+15
31/01/2009;383;220;27;299;154;214;2600;21;21;0;450;290;30;140;30136;29787;322;430;450;31/01/2009;1;3,49E+15
1/02/2009;308;260;-15;301;114;170;2790;0;21;0;380;250;40;120;303;29826;299;410;380;1/02/2009;2;4,74E+15
2/02/2009;330;330;63;302;166;244;2710;0;21;0;400;260;40;250;3024;30055;299;480;400;2/02/2009;2;1,85E+16
3/02/2009;386;370;136;303;103;150;2750;0;21;0;480;310;50;190;30392;3023;219;300;480;3/02/2009;2;1,62E+16
4/02/2009;433;160;-10;302;70;101;2710;0;21;0;550;270;20;70;3045;30031;219;300;550;4/02/2009;2;4,19E+15
5/02/2009;456;150;6;300;111;158;2700;0;21;0;530;340;20;100;30105;29802;288;360;530;5/02/2009;2;3,03E+15
6/02/2009;334;500;149;299;73;105;2560;0;21;0;440;200;90;270;30034;29667;322;470;440;6/02/2009;2;3,67E+16
7/02/2009;342;560;194;301;43;69;2720;0;21;0;430;230;80;350;30258;29949;184;280;430;7/02/2009;2;3,09E+15
8/02/2009;315;650;199;299;20;34;390;0;21;0;500;210;80;270;30238;29378;173;220;500;8/02/2009;2;8,6E+15
